#Note - the user should implement his/her own light-curve quality cuts, and calculate his/her own mu values.  

Update 1a:  High-z HST SN distances were given here with a different format.  These have been removed. 
Update 1b: Small changes to the peculiar velocities were made from Hudson from 2M++ data.  These have <0.1% impact on H0.
Update 2: Small fix of output of DEC position of handful of CfA4 SNe.
Update 2b: Fixed the small fix of output of DEC position of handful of CfA4 SNe. 9/25/16
Update 3: Cut out id=15 as not used in Riess 2016
User note: This list does not have duplicate SNe removed - most of the SNe have the same name, but a handful of SDSS that have duplicates don't: (sdss=['16314','16392','16333','14318','17186','17784','7876’],truname=['2006oa','2006ob','2006on','2006py','2007hx','2007jg','2005ir’]).
User note: Intrinsic scatter and distance scatter due to redshift error is not included here. 11/14/2016

NVAR: 41 
VARNAMES: CID CIDint IDSURVEY TYPE FIELD zHD zHDERR z zERR HOST_LOGMASS HOST_LOGMASS_ERR SNRMAX1 SNRMAX2 SNRMAX3 PKMJD PKMJDERR x1 x1ERR c cERR mB mBERR x0 x0ERR COV_x1_c COV_x1_x0 COV_c_x0 NDOF FITCHI2 FITPROB RA DECL TGAPMAX MU MUERR MUERR_NOSIGMB MURES MUPULL sbar cbar ERRCODE 
SN: 6924 6924 1 120 82S 0.32640 0.00001 0.32800 0.00001 -9 -9 14.0281 12.1352 8.1399 53674.641 0.140 1.0091 0.7012 -7.20035e-02 4.23963e-02 21.3161672207 4.65904e-02 5.3396729936e-05 2.21934e-06 8.39663e-03 -1.08716e-06 -4.31360e-08 47 35.3284 0.8945 -1.030762 0.876854 0.876854   41.0079  0.1497  0.1497 -0.171 -1.140  1.507 -0.099 0 
SN: 7147 7147 1 120 82N 0.10886 0.00001 0.11022 0.00001 10.5620 6.40000e-02 67.8528 49.3418 30.1418 53679.668 0.133 -1.94397e+00 0.1577 -9.33166e-02 2.35255e-02 19.1729168332 3.59554e-02 0.000384429959628 1.26181e-05 2.57051e-04 -9.69657e-08 -2.03129e-07 36 41.2924 0.2504 -9.981689 -0.055568 -0.055568   38.5173  0.0581  0.0581 -0.023 -0.393 -1.923 -0.101 0 
SN: 7243 7243 1 120 82S 0.20323 0.00001 0.20462 0.00001 9.2250 0.1110 23.5728 13.1889 10.0106 53686.262 0.337 0.7121 0.3883 -3.05881e-02 4.17150e-02 20.5113532658 6.76945e-02 0.000112066676681 7.20339e-06 2.97895e-03 -8.93222e-07 -1.93431e-07 24 8.2647 0.9993 -31.920959 0.471865 0.471865   40.0330  0.1130  0.1130  0.022  0.199  0.678 -0.025 0 
SN: 7779 7779 1 120 82N+82S 0.37986 0.00001 0.38120 0.00001 11.1740 0.1530 10.5428 10.2582 9.6048 53675.840 0.652 1.4844 0.6665 -1.10487e-01 3.59000e-02 21.4805512627 4.94732e-02 4.58952719557e-05 1.82729e-06 7.49141e-03 -6.69736e-07 -2.02544e-08 87 85.7544 0.5176 -49.919830 -0.007232 -0.007232   41.3581  0.1339  0.1339 -0.202 -1.509  2.106 -0.138 0 
SN: 7847 7847 1 120 82N 0.21160 0.00001 0.21266 0.00001 10.6960 0.1240 18.6819 17.1959 12.2791 53682.020 0.143 0.1311 0.3023 0.1200 2.64166e-02 21.005179791 3.67757e-02 7.11073344184e-05 2.62204e-06 9.61460e-04 -3.25240e-07 -4.10318e-08 36 32.7363 0.6692 32.459854 -0.061846 -0.061846   39.9787  0.0823  0.0823 -0.126 -1.525  0.408  0.094 0 
SN: 8495 8495 1 120 82S 0.21353 0.00001 0.21498 0.00001 11.0340 6.30000e-02 21.2528 15.4739 12.1587 53689.918 0.342 0.7382 0.4585 -2.95576e-02 4.15777e-02 20.5414977648 6.34772e-02 0.000108991591701 6.55543e-06 6.41677e-03 -1.65946e-06 -1.89542e-07 23 40.7404 1.77827e-02 -24.738983 -0.748200 -0.748200   40.0637  0.1111  0.1111 -0.067 -0.603  0.882 -0.044 0 
SN: 8921 8921 1 120 82N+82S 0.14409 0.00001 0.14539 0.00001 10.2160 5.80000e-02 30.1424 29.3313 18.3762 53693.008 0.191 0.8047 0.2509 -1.99277e-02 2.91366e-02 19.6729525748 4.76050e-02 0.000242554137574 1.08162e-05 3.01730e-03 -1.23979e-06 -2.38412e-07 35 38.6596 0.3504 -34.998077 -0.008034 -0.008034   39.1746  0.0637  0.0637 -0.016 -0.253  0.826 -0.025 0 
SN: 9032 9032 1 120 82N 0.25249 0.00001 0.25400 0.00001 9.2520 0.1490 14.4128 11.6092 10.7946 53688.945 0.513 0.8336 0.6199 9.45003e-03 5.15735e-02 21.0802708305 7.07520e-02 6.63569953167e-05 4.50564e-06 9.33869e-03 -1.70150e-06 -1.39133e-07 23 11.4067 0.9858 -22.115479 -0.493654 -0.493654   40.4949  0.1552  0.1552 -0.045 -0.292  0.935  0.000 0 
SN: 9457 9457 1 120 82N 0.25672 0.00001 0.25823 0.00001 11.1290 0.1340 11.5937 8.4660 7.9631 53688.848 0.541 -3.39546e-01 0.6017 -2.70537e-02 6.18731e-02 21.2009323207 8.17005e-02 5.93778307061e-05 4.81349e-06 1.13394e-02 -1.64086e-06 -1.78677e-07 25 8.7629 0.9989 -24.185730 0.252944 0.252944   40.5644  0.1730  0.1730 -0.017 -0.096 -0.313 -0.031 0 
SN: 9467 9467 1 120 82N 0.21885 0.00001 0.22027 0.00001 10.9300 7.20000e-02 16.1525 9.8885 7.8667 53688.816 0.351 -1.38542e+00 0.3820 -1.47192e-01 5.65217e-02 20.7421741307 6.61107e-02 9.0601580002e-05 5.39861e-06 5.67963e-03 -1.08995e-06 -1.67313e-07 22 13.7851 0.9329 -31.048676 1.180713 1.180713   40.3317  0.1551  0.1551  0.142  0.913 -1.478 -0.106 0 
SN: 12779 12779 1 120 82N 0.07891 0.00001 0.07995 0.00001 10.7760 8.30000e-02 67.8510 51.6960 36.1777 53971.895 0.959 -6.09635e-01 0.2645 9.46290e-02 3.29290e-02 18.9101021213 7.13140e-02 0.000489721790872 3.39080e-05 -3.43533e-03 3.37205e-06 -9.18784e-07 28 22.2387 0.8102 -50.528229 1.221038 1.221038   37.8586  0.0755  0.0755  0.060  0.796 -0.744  0.113 0 
SN: 12781 12781 1 120 82N 0.08282 0.00001 0.08408 0.00001 10.9420 7.80000e-02 67.8524 51.6903 37.4223 53979.270 0.220 -1.81078e+00 0.1854 4.02252e-02 2.69711e-02 19.1280233156 4.00953e-02 0.000400686351406 1.51644e-05 7.49912e-04 -1.46126e-06 -2.85065e-07 39 42.9056 0.3074 5.406504 -1.010051 -1.010051   38.0770  0.0709  0.0709  0.163  2.299 -2.018  0.085 0 
SN: 12856 12856 1 120 82N 0.17028 0.00001 0.17167 0.00001 10.3520 4.50000e-02 43.4178 36.1744 21.2575 53996.910 0.240 0.8607 0.2049 -8.62940e-02 2.38437e-02 19.8389843808 3.74066e-02 0.000208157189017 7.10608e-06 2.05425e-04 -2.64777e-07 -1.16086e-07 51 40.4872 0.8543 -27.134583 0.755887 0.755887   39.5542  0.0641  0.0641 -0.033 -0.508  0.915 -0.096 0 
SN: 12869 12869 1 120 82N+82S 0.27806 0.00001 0.27953 0.00001 10.4370 9.90000e-02 14.0328 11.0080 9.6162 53978.855 1.293 0.3510 0.9053 -4.90853e-02 5.16075e-02 21.1149156543 8.68173e-02 6.4276047781e-05 5.38687e-06 1.38697e-02 -2.16515e-06 -1.72022e-07 84 54.3164 0.9961 -32.600922 0.000987 0.000987   40.6434  0.1736  0.1736 -0.134 -0.774  0.839 -0.064 0 
SN: 12881 12881 1 120 82N 0.23670 0.00001 0.23811 0.00001 9.6790 0.1130 25.8168 19.7004 12.7132 53980.316 0.590 0.8695 0.5425 2.63119e-02 3.85278e-02 20.8427560093 4.80901e-02 8.2587472302e-05 3.78374e-06 4.39184e-03 -1.32268e-06 -9.11639e-08 32 33.2381 0.4067 10.162300 -0.073668 -0.073668   40.2101  0.1270  0.1270 -0.171 -1.345  1.349 -0.003 0 
SN: 12883 12883 1 120 82N 0.30569 0.00001 0.30700 0.00001 11.0990 0.1050 11.2252 7.8924 5.9928 53980.188 0.094 -2.03203e+00 0.7825 -6.97307e-02 6.90427e-02 21.4023293663 9.74888e-02 4.93232298848e-05 5.03057e-06 1.37143e-02 -2.65583e-06 -1.59475e-07 48 31.5965 0.9675 -47.374176 0.398611 0.398611   40.6612  0.2297  0.2297 -0.351 -1.527 -1.354 -0.132 0 
SN: 12898 12898 1 120 82N 0.08254 0.00001 0.08358 0.00001 9.9530 4.50000e-02 77.5458 72.3770 41.7466 54002.492 0.082 -5.21715e-02 8.60948e-02 6.75354e-02 2.14352e-02 18.7636753626 3.22396e-02 0.000560434609145 1.70390e-05 9.15951e-06 -2.25761e-07 -2.79689e-07 50 73.7759 1.60088e-02 26.793016 -0.147077 -0.147077   37.8742  0.0490  0.0490 -0.026 -0.533 -0.036  0.058 0 
SN: 12927 12927 1 120 82N 0.18891 0.00001 0.18978 0.00001 10.4010 6.00000e-02 31.9101 29.3207 18.6804 53988.855 1.150 9.28758e-02 0.4017 -3.26338e-02 3.60467e-02 20.0638610526 5.83292e-02 0.000169222566688 9.39987e-06 -3.00211e-03 1.27723e-06 -2.71111e-07 47 35.6978 0.8858 41.786049 0.775059 0.775059   39.5052  0.0939  0.0939 -0.323 -3.440  0.965 -0.132 0 
SN: 12950 12950 1 120 82N+82S 0.08141 0.00001 0.08273 0.00001 9.7870 4.00000e-02 90.4738 77.5465 72.3787 54000.059 0.069 -3.27999e-01 6.23971e-02 4.63316e-03 1.59850e-02 18.6539562339 3.14066e-02 0.000620031357682 1.81363e-05 8.65923e-06 -9.24213e-08 -2.18600e-07 97 139.9139 3.51233e-03 -8.332581 -0.840320 -0.840320   37.9209  0.0347  0.0347  0.043  1.233 -0.352  0.019 64 
SN: 12972 12972 1 120 82S 0.25655 0.00001 0.25800 0.00001 9.1770 0.1140 20.8381 13.1860 8.9641 53980.969 0.906 0.1765 0.8162 -8.03554e-02 5.14873e-02 21.025347052 6.75377e-02 6.98032326776e-05 4.43868e-06 2.12345e-02 -2.89235e-06 -1.54157e-07 38 14.2635 0.9998 7.958508 -0.383025 -0.383025   40.6263  0.1503  0.1503  0.048  0.316  0.028 -0.075 0 
